Starter letter	Language/Country	Translation document (link)	Estimated completion date	Slack channel	Slack usernames	Translation status	Ready to Publish on Medium?	(Optional) Medium Author	Published on Medium (Link)	Who is posting to medium?
US 2020	Japanese	Japanese - US 2020	June 7	#translation-japanese	@Akané (she) @setsuko @agnes @Anri Ono (they/them) @Chika Kondo	PUBLISHED	Draft	N/A	https://lettersforblacklives.com/%E5%AE%B6%E6%97%8F%E3%81%AE%E3%81%BF%E3%81%AA%E3%81%95%E3%82%93%E3%81%B8-94f4a76ed064	Joy
US 2020	Kannada	Kannada - US 2020		#translation-kannada	@Nisarga M(she/her)	INITIAL STAGES				
US 2020	Khmer	Khmer - US 2020	June 6	#translation-khmer-2020	@Phykun Bunthon @Sabrina Im @Lea Khy @nluong @Pan Chhum 	PUBLISHED	Draft YES		https://lettersforblacklives.com/ម៉ាក់-ប៉ា-ពូ-មីង-លោកតា-លោកយាយ-និងក្រុមគ្រួសារទាំងមូល-be69b97d337b	Joy
US 2020	Korean	Korean - US 2020	June 6	#translation-korean	@Jasmin @Julia Hyun	PUBLISHED	Korean version English version	N/A	https://lettersforblacklives.com/%EC%82%AC%EB%9E%91%ED%95%98%EB%8A%94-%EA%B0%80%EC%A1%B1%EC%97%90%EA%B2%8C-22777f621da9	Joy
US 2020	Lao	Lao - US 2020	June 7	#translation-lao	Saengmany Ratsabout  Phonetip Sivilay Jonathan Vorasane Akarath Soukhaphon Amphaphone Luangkhamdeng Soutthida Soukthavone Jennifer Banyadith Bambi Phonesavanh Latana Thaviseth 	PUBLISHED	Draft		https://lettersforblacklives.com/%E0%BA%82%E0%BB%8D%E0%BA%AE%E0%BA%BD%E0%BA%99%E0%BA%97%E0%BB%88%E0%BA%B2%E0%BA%99%E0%BA%9E%E0%BB%8D%E0%BB%88%E0%BB%81%E0%BA%A1%E0%BB%88%E0%BB%81%E0%BA%A5%E0%BA%B0%E0%BA%8D%E0%BA%B2%E0%BA%94%E0%BA%9E%E0%BA%B5%E0%BB%88%E0%BA%99%E0%BB%89%E0%BA%AD%E0%BA%87%E0%BA%97%E0%BA%B5%E0%BB%88%E0%BA%AE%E0%BA%B1%E0%BA%81%E0%BB%81%E0%BA%A5%E0%BA%B0%E0%BA%99%E0%BA%B1%E0%BA%9A%E0%BA%96%E0%BA%B7-a34ec1902d40	Kaori
US 2020	Latvian			#translation-latvian	No Twitter, but Instagram @agne.irbe	INITIAL STAGES				
US 2020	Malayalam	Malayalam - US 2020		#translation-malayalam	 @Parvathy Menon @JB 	FINAL STAGES				
US 2020	Maltese	Maltese - US 2020		#translation-maltese		IN PROGRESS				
US 2020	Marathi	Marathi - 2020		#translation-marathi	@Rashmi 	IN PROGRESS				
US 2020	Mongolian	Mongolian - US 2020		#translation-mongolian	@Udval @Tsedu	FINAL STAGES				
US 2020	Nepali	Nepali-US 2020		N/A	@Samir Shrestha( translation by samir shrestha, dinesh shrestha,raji manjari)	PUBLISHED	Draft		https://lettersforblacklives.com/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF-%E0%A4%86%E0%A4%AE%E0%A4%BE-%E0%A4%AC%E0%A5%81%E0%A4%B5%E0%A4%BE-%E0%A4%95%E0%A4%BE%E0%A4%95%E0%A4%BE-%E0%A4%95%E0%A4%BE%E0%A4%95%E0%A5%80-%E0%A4%B9%E0%A4%9C%E0%A5%81%E0%A5%8D%E0%A4%B0%E0%A4%AC%E0%A5%81%E0%A4%B5%E0%A4%BE-%E0%A4%B9%E0%A4%9C%E0%A5%81%E0%A4%B0%E0%A4%86%E0%A4%AE%E0%A4%BE-db4ae8212445	Kaori
US 2020	Norwegian	Norwegian  - US 2020				INITIAL STAGES				
US 2020	Persian (Farsi)	Persian - US 2020		#translation-persian	@Adrienne Mahsa	PUBLISHED	Yes!		https://lettersforblacklives.com/persian-edition-3be1f13db399	Cordelia
US 2020	Polish	Polish - US 2020		#translation-polish	@Katarzyna Jankowicz @Cindy  @katherinerussell	PUBLISHED	Draft 		https://lettersforblacklives.com/mamo-tato-wujku-dziadku-babciu-rodzino-c30ec7e31327	Joy
US 2020	Portugese - Brazilian	Brazilian Portuguese - US 2020		#translation-portuguese	@Luma Guarconi	PUBLISHED	Draft 	N/A	https://lettersforblacklives.com/m%C3%A3e-pai-tio-tia-av%C3%B4-av%C3%B3-familia-3dcecab04e4a	Kaori
US 2020	Portugese - European 	European Portuguese - US 2020		#translation-portuguese	@Juliana	IN PROGRESS				
